claim_id,location,claim_type,claim,value_paper,digits,needs_block
fig6_overall_treatmentfactcheck,Figure 6,pipeline,Figure 6 label: Overall correction effect on the claim's target,0.18,2,TRUE
fig6_Republican_treatmentcontrol,Figure 6,pipeline,Figure 6 label: Republican misinformation effect on the claim's target,0.01,2,TRUE
fig6_Republican_treatmentfactcheck,Figure 6,pipeline,Figure 6 label: Republican correction effect on the claim's target,0.15,2,TRUE
fig6_Independent_treatmentcontrol,Figure 6,pipeline,Figure 6 label: Independent misinformation effect on the claim's target,-0.60,2,TRUE
fig6_Independent_treatmentfactcheck,Figure 6,pipeline,Figure 6 label: Independent correction effect on the claim's target,-0.32,2,TRUE
fig6_Democrat_treatmentcontrol,Figure 6,pipeline,Figure 6 label: Democrat misinformation effect on the claim's target,-0.26,2,TRUE
fig6_Democrat_treatmentfactcheck,Figure 6,pipeline,Figure 6 label: Democrat correction effect on the claim's target,0.23,2,TRUE
app_t1_n_panel_1_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 1 (Lucid),2321,0,TRUE
app_t1_n_panel_1_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 1 (MTurk),2090,0,TRUE
app_t1_n_panel_2_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 2 (MTurk),2059,0,TRUE
app_t1_n_panel_3_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 3 (Lucid),2390,0,TRUE
app_t1_n_panel_4_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 4 (MTurk),2582,0,TRUE
app_t1_n_panel_5_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 5 (Lucid),2200,0,TRUE
app_t1_n_panel_6_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 6 (MTurk),1599,0,TRUE
app_t1_n_panel_7_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 7 (Lucid),2388,0,TRUE
app_t1_percentage_cells,"Appendix Table 1, p. 3",pipeline,Percentage cells printed in Appendix Table 1,188,0,TRUE
app_t1_date_cells,"Appendix Table 1, p. 3",structural,Fielding date cells printed in Appendix Table 1,16,0,TRUE
app_fig1_rows,"Appendix Figure 1, p. 4",structural,Trait-by-tercile time estimates plotted in Appendix Figure 1,36,0,TRUE
app_fig2_rows,"Appendix Figure 2, p. 5",structural,Trait-by-tercile-by-type time estimates plotted in Appendix Figure 2,72,0,TRUE
app_fig3_series,"Appendix Figure 3, p. 7",structural,Fact check traffic series plotted in Appendix Figure 3,21,0,TRUE
app_fig4_6_rows,"Appendix Figures 4 to 6, pp. 8 to 12",structural,Balance estimates plotted in Appendix Figures 4 to 6,816,0,TRUE
app_fig7_rows,"Appendix Figure 7, p. 12",structural,Joint balance test p-values plotted in Appendix Figure 7,48,0,TRUE
app_fig8_rows,"Appendix Figure 8, p. 14",structural,Attrition estimates plotted in Appendix Figure 8,108,0,TRUE
app_fig9_targets,"Appendix Figure 9, p. 24: ""accounting for the 22 different political figures and groups for whom we observed attitudinal outcomes""",definitional,Political figures and groups with attitudinal outcomes,22,0,TRUE
app_fig9_rows,"Appendix Figure 9, p. 24",structural,Meta-analytic attitude estimates plotted in Appendix Figure 9,12,0,TRUE
app_reg_t1_cells,"Appendix Table 1 (regression tables), p. 15",pipeline,Cells in the Wave 1 average treatment effect table,100,0,TRUE
app_reg_t2_cells,"Appendix Table 2, p. 16",pipeline,Cells in the Wave 1 conditional effects table for Democrats,100,0,TRUE
app_reg_t3_cells,"Appendix Table 3, p. 17",pipeline,Cells in the Wave 1 conditional effects table for Republicans,100,0,TRUE
app_reg_t4_cells,"Appendix Table 4, p. 18",pipeline,Cells in the unadjusted persistence to Time 2 table,75,0,TRUE
app_reg_t5_cells,"Appendix Table 5, p. 19",pipeline,Cells in the adjusted persistence to Time 2 table,75,0,TRUE
app_reg_t6_cells,"Appendix Table 6, p. 20",pipeline,Cells in the unadjusted persistence to Time 3 table,21,0,TRUE
app_reg_t7_cells,"Appendix Table 7, p. 20",pipeline,Cells in the adjusted persistence to Time 3 table,21,0,TRUE
app_reg_stars,"Appendix Tables 1 to 7, pp. 15 to 20",pipeline,Cells carrying a significance marker across the seven regression tables,205,0,TRUE
app_reg_descending,"Appendix Tables 1 to 7, pp. 15 to 20",structural,Cells printing their confidence interval in descending order,144,0,TRUE
app_t8_rows,"Appendix Table 8, p. 22",structural,Misinformation items in the traffic and engagement table,18,0,FALSE
app_t9_partisanship,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for partisanship,0.104,3,TRUE
app_t9_conscientiousness,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for conscientiousness,0.082,3,TRUE
app_t9_political_knowledge,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for political knowledge,0.080,3,TRUE
app_t9_agreeableness,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for agreeableness,0.076,3,TRUE
app_t9_crt,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for the Cognitive Reflection Test,0.069,3,TRUE
app_t9_openness,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for openness,0.052,3,TRUE
app_t9_emotional_stability,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for emotional stability,0.040,3,TRUE
app_t9_political_interest,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for political interest,0.039,3,TRUE
app_t9_need_for_cognition,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for need for cognition,0.039,3,TRUE
app_t9_extraversion,"Appendix Table 9, p. 23",pipeline,Mean adjusted r-squared for extraversion,0.035,3,TRUE
app_t9_experiments,"Appendix p. 23: ""across our 21 experiments, we interacted each conditional indicator with each pre-treatment covariate in separate linear models""",definitional,Experiments in the further heterogeneity investigation,21,0,TRUE
app_t9_models,"Appendix p. 23: ""resulting in 210 separate linear models""",pipeline,Linear models fitted in the further heterogeneity investigation,210,0,TRUE
app_t9_covariates,"Appendix Table 9, p. 23",structural,Covariate types in the further heterogeneity investigation,10,0,FALSE
app_duplicate_table_1,"Appendix, pp. 3 and 15",structural,Distinct floats captioned Table 1 in the appendix,2,0,FALSE
