congeniality,lucid_pid_3,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,term,topic_short_2,type,pg,lab,fc,panel,panel_factor,df,outcome
"False claim
congenial to
Democrats",Democrat,NA,-24.33947316876173,3.0419678333227687,-8.001226345045046,4.2684065795448976e-15,-30.310564884585105,-18.368381452938362,treatmentfactcheck,Joe Biden has never made more than $400k,Correction effect,sig,-24.3,3,panel_5_lucid,Panel 5 (Lucid),808,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,2.6784825787157063,2.8242300429119287,-0.9483939119754036,0.3432053352112655,-2.8650000343857513,8.221965191817164,treatmentcontrol,Joe Biden has never made more than $400k,Misinformation effect,insig,2.7,3,panel_5_lucid,Panel 5 (Lucid),829,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-10.06106578864587,2.9215494396569155,-3.4437431220836587,6.024966972309792e-4,-15.79556980424509,-4.326561773046648,treatmentfactcheck,Joe Biden has never made more than $400k,Correction effect,sig,-10.1,3,panel_5_lucid,Panel 5 (Lucid),829,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,5.7112478907281234,4.195804154286448,-1.3611807607591724,0.1742589643529645,-2.538514993347685,13.961010774803931,treatmentcontrol,Trump said 'Good' to children's separation,Misinformation effect,insig,5.7,3,panel_6_mturk,Panel 6 (MTurk),382,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-34.17637464992533,4.126359304870669,-8.282452429574963,2.057979049540219e-15,-42.28959552199725,-26.063153777853408,treatmentfactcheck,Trump said 'Good' to children's separation,Correction effect,sig,-34.2,3,panel_6_mturk,Panel 6 (MTurk),382,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-10.25053420276408,3.715841342189515,2.7586038419832195,0.00613055534195826,-17.56042211131586,-2.9406462942123053,treatmentcontrol,Trump said 'Good' to children's separation,Misinformation effect,sig,-10.3,3,panel_6_mturk,Panel 6 (MTurk),328,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-4.97583658622326,4.209434907913205,-1.1820675922246278,0.238035121973416,-13.256733024352489,3.305059851905969,treatmentfactcheck,Trump said 'Good' to children's separation,Correction effect,insig,-5,3,panel_6_mturk,Panel 6 (MTurk),328,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,3.607990639870345,2.552138273617668,-1.4137128372578347,0.15773873897607446,-1.3998050202181958,8.615786299958886,treatmentcontrol,USPS fails to deliver 27% of mail ballots in South FL,Misinformation effect,insig,3.6,3,panel_7_lucid,Panel 7 (Lucid),1064,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-13.86375525172958,2.708884913224048,-5.1178827066629715,3.6645369026895106e-7,-19.179118550166184,-8.548391953292974,treatmentfactcheck,USPS fails to deliver 27% of mail ballots in South FL,Correction effect,sig,-13.9,3,panel_7_lucid,Panel 7 (Lucid),1064,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,4.3767735892201864,2.938541293701453,-1.489437496965409,0.13678979665886903,-1.3919092163331763,10.14545639477355,treatmentcontrol,USPS fails to deliver 27% of mail ballots in South FL,Misinformation effect,insig,4.4,3,panel_7_lucid,Panel 7 (Lucid),755,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,-11.856969002396353,3.054433663595577,-3.8818878745720498,1.1271694841957754e-4,-17.853161396784163,-5.860776608008542,treatmentfactcheck,USPS fails to deliver 27% of mail ballots in South FL,Correction effect,sig,-11.9,3,panel_7_lucid,Panel 7 (Lucid),755,outcome_w1
